lot,wafer_slot,layer,tool_id,measured_at,field_x,field_y,die_x,die_y,overlay_x_nm,overlay_y_nm
LOT09151123,3,VIA1,ARCHER-01,2026-09-15 11:02:39,-3,-3,0,0,0.475,1.944
LOT09151123,3,VIA1,ARCHER-01,2026-09-15 11:02:39,-3,-3,1,0,-0.365,2.130
LOT09151123,3,VIA1,ARCHER-01,2026-09-15 11:02:39,-3,-3,0,1,0.312,-2.411
LOT09151123,3,VIA1,ARCHER-01,2026-09-15 11:02:39,-3,-3,1,1,-2.015,4.255
LOT09151123,3,VIA1,ARCHER-01,2026-09-15 11:02:39,-3,-2,0,0,0.697,3.579
LOT09151123,3,VIA1,ARCHER-01,2026-09-15 11:02:39,-3,-2,1,0,0.196,-0.036
LOT09151123,3,VIA1,ARCHER-01,2026-09-15 11:02:39,-3,-2,0,1,0.986,-0.685
LOT09151123,3,VIA1,ARCHER-01,2026-09-15 11:02:39,-3,-2,1,1,-0.477,-2.307
LOT09151123,3,VIA1,ARCHER-01,2026-09-15 11:02:39,-3,-1,0,0,2.579,-1.871
LOT09151123,3,VIA1,ARCHER-01,2026-09-15 11:02:39,-3,-1,1,0,0.180,-0.271
LOT09151123,3,VIA1,ARCHER-01,2026-09-15 11:02:39,-3,-1,0,1,-0.761,-4.543
LOT09151123,3,VIA1,ARCHER-01,2026-09-15 11:02:39,-3,-1,1,1,-0.152,-1.695
LOT09151123,3,VIA1,ARCHER-01,2026-09-15 11:02:39,-3,0,0,0,-3.457,0.536
LOT09151123,3,VIA1,ARCHER-01,2026-09-15 11:02:39,-3,0,1,0,-0.504,-0.211
LOT09151123,3,VIA1,ARCHER-01,2026-09-15 11:02:39,-3,0,0,1,-1.301,-1.817
LOT09151123,3,VIA1,ARCHER-01,2026-09-15 11:02:39,-3,0,1,1,0.753,-1.055
LOT09151123,3,VIA1,ARCHER-01,2026-09-15 11:02:39,-3,1,0,0,2.357,-0.377
LOT09151123,3,VIA1,ARCHER-01,2026-09-15 11:02:39,-3,1,1,0,-0.870,-0.525
LOT09151123,3,VIA1,ARCHER-01,2026-09-15 11:02:39,-3,1,0,1,2.153,0.085
LOT09151123,3,VIA1,ARCHER-01,2026-09-15 11:02:39,-3,1,1,1,-1.981,-2.358
LOT09151123,3,VIA1,ARCHER-01,2026-09-15 11:02:39,-3,2,0,0,2.444,-3.526
LOT09151123,3,VIA1,ARCHER-01,2026-09-15 11:02:39,-3,2,1,0,1.274,1.529
LOT09151123,3,VIA1,ARCHER-01,2026-09-15 11:02:39,-3,2,0,1,0.935,1.683
LOT09151123,3,VIA1,ARCHER-01,2026-09-15 11:02:39,-3,2,1,1,-0.521,0.331
LOT09151123,3,VIA1,ARCHER-01,2026-09-15 11:02:39,-3,3,0,0,3.206,-1.243
LOT09151123,3,VIA1,ARCHER-01,2026-09-15 11:02:39,-3,3,1,0,0.760,-0.366
LOT09151123,3,VIA1,ARCHER-01,2026-09-15 11:02:39,-3,3,0,1,3.090,-1.538
LOT09151123,3,VIA1,ARCHER-01,2026-09-15 11:02:39,-3,3,1,1,2.774,0.599
LOT09151123,3,VIA1,ARCHER-01,2026-09-15 11:02:39,-2,-3,0,0,1.762,1.044
LOT09151123,3,VIA1,ARCHER-01,2026-09-15 11:02:39,-2,-3,1,0,0.375,-1.029
LOT09151123,3,VIA1,ARCHER-01,2026-09-15 11:02:39,-2,-3,0,1,-0.706,-0.051
LOT09151123,3,VIA1,ARCHER-01,2026-09-15 11:02:39,-2,-3,1,1,4.170,-0.447
LOT09151123,3,VIA1,ARCHER-01,2026-09-15 11:02:39,-2,-2,0,0,-0.218,-2.572
LOT09151123,3,VIA1,ARCHER-01,2026-09-15 11:02:39,-2,-2,1,0,1.418,-2.212
LOT09151123,3,VIA1,ARCHER-01,2026-09-15 11:02:39,-2,-2,0,1,-1.025,-2.472
LOT09151123,3,VIA1,ARCHER-01,2026-09-15 11:02:39,-2,-2,1,1,-0.985,2.187
LOT09151123,3,VIA1,ARCHER-01,2026-09-15 11:02:39,-2,-1,0,0,-2.001,-2.105
LOT09151123,3,VIA1,ARCHER-01,2026-09-15 11:02:39,-2,-1,1,0,0.021,-1.537
LOT09151123,3,VIA1,ARCHER-01,2026-09-15 11:02:39,-2,-1,0,1,-0.815,0.825
LOT09151123,3,VIA1,ARCHER-01,2026-09-15 11:02:39,-2,-1,1,1,1.340,-0.965
LOT09151123,3,VIA1,ARCHER-01,2026-09-15 11:02:39,-2,0,0,0,-0.194,1.469
LOT09151123,3,VIA1,ARCHER-01,2026-09-15 11:02:39,-2,0,1,0,1.768,1.438
LOT09151123,3,VIA1,ARCHER-01,2026-09-15 11:02:39,-2,0,0,1,0.486,-0.250
LOT09151123,3,VIA1,ARCHER-01,2026-09-15 11:02:39,-2,0,1,1,0.468,-0.379
